"Per capita real GDP by metropolitan area (chained 2009 dollars)"
"Levels" 
"Bureau of Economic Analysis" 
"All industry total"
"Fips","Area","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"16180","Carson City, NV (Metropolitan Statistical Area)",49400,49071,51424,53596,55864,57099,57051,53553,49822,50550,50019,49057,49300,49603,50188
"16220","Casper, WY (Metropolitan Statistical Area)",62359,66177,65227,70677,76949,85497,82073,96532,74817,73302,75287,70788,66637,68873,68700
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",45554,44046,47399,50510,52286,50665,54978,52946,58857,60192,61352,60688,60775,62181,62216
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",26154,26216,27503,29216,30169,30566,30624,30115,28082,28222,28139,27809,28425,28986,29186
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",37204,38210,38262,38457,38311,39163,38964,40639,40697,40709,39914,40287,40909,40816,40781
"16620","Charleston, WV (Metropolitan Statistical Area)",52717,53219,52566,52797,53764,55162,55718,57123,56765,57868,59847,57037,56163,57084,56414
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",38804,39846,41150,41615,43044,42962,43775,43544,42256,42458,43309,43298,42720,42991,43707
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",52730,55100,55396,56890,59352,59924,55788,55106,50852,51032,53641,52812,53479,54345,55610
"16820","Charlottesville, VA (Metropolitan Statistical Area)",39546,40415,41557,43253,44734,45202,44868,44729,44131,45406,46387,47248,47181,48099,47443
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",41259,41612,41612,42215,42415,43466,43601,41946,38729,39073,39075,39204,39014,38922,39564
"16940","Cheyenne, WY (Metropolitan Statistical Area)",42546,44117,46189,47228,48426,51613,53742,56621,50853,50856,51900,51188,49967,49972,49755
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",55025,54915,55447,56609,57532,58740,59266,57384,55156,55684,56262,57707,57071,57877,59688
"17020","Chico, CA (Metropolitan Statistical Area)",26154,27672,28230,28897,29831,29591,29699,28930,28481,28321,27718,27052,28546,28560,29796
