"CA6N Compensation of Employees by NAICS Industry"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","811","        Warehousing and storage",7973,6806,4008,4209,4984,4866,5047,4983,5303,5778,16557,15815,14777,11569,21392
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","900","      Information",338806,333532,329687,282586,265733,267836,303453,307987,340858,333700,350736,348190,382796,513807,580264
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","901","        Publishing industries (except Internet)",149225,145610,157514,154581,159324,158869,153479,164449,200533,196323,184722,178712,178456,197128,208976
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","902","        Motion picture and sound recording industries",6619,5531,5402,5616,9253,10608,"(D)","(D)","(D)","(D)","(D)","(D)",11677,"(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","903","        Broadcasting (except Internet)","(D)","(D)","(D)",6308,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",7248,"(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","904","        Internet publishing and broadcasting 4/",547,579,2443,"(D)",3360,4094,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","905","        Telecommunications",98748,84446,67016,55094,26047,22962,27592,26646,25917,25517,33813,29187,33857,34995,32958
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","906","        Data processing, hosting, and related services",70953,84692,83570,50165,53676,56964,59155,45106,36785,26407,27206,28382,27073,104449,120229
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","907","        Other information services 4/","(D)","(D)","(D)","(D)","(D)","(D)",43255,50530,56872,61120,75558,90127,124485,160957,203183
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1000","      Finance and insurance",237245,225737,220715,213126,217473,233334,219563,228794,234187,276197,293922,392210,416668,394809,461393
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1001","        Monetary Authorities-central bank",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1002","        Credit intermediation and related activities",132104,122481,131136,115944,118517,118000,106391,111540,110797,124546,124928,210860,212812,176070,219895
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1003","        Securities, commodity contracts, and other financial investments and related activities",39986,39228,34106,"(D)","(D)",42483,"(D)","(D)","(D)",64655,"(D)","(D)","(D)",108941,126476
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1004","        Insurance carriers and related activities",52959,56587,54781,60124,59858,71668,75748,80691,80442,86767,87801,93759,104984,109375,114510
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1005","        Funds, trusts, and other financial vehicles",12196,7441,692,"(D)","(D)",1183,"(D)","(D)","(D)",229,"(D)","(D)","(D)",423,512
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1100","      Real estate and rental and leasing",85452,101244,104567,113720,120130,125888,134152,124937,138558,121473,122777,130266,135662,135351,160510
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1101","        Real estate",72547,78320,80341,85606,89134,94937,102739,101319,106624,100690,100359,105824,110518,110057,118590
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1102","        Rental and leasing services",10082,11263,11134,14653,15081,14754,14215,12441,11734,7270,7189,8327,8130,9041,8825
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1103","        Lessors of nonfinancial intangible assets (except copyrighted works)",2823,11661,13092,13461,15915,16197,17198,11177,20200,13513,15229,16115,17014,16253,33095
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1200","      Professional, scientific, and technical services",1355931,1354208,1332092,1403614,1408957,1416183,1575255,1319625,1197628,1218527,1313557,1444813,1543513,1618336,1715904
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1300","      Management of companies and enterprises",181520,179611,230497,216419,254134,194294,203710,148432,143502,147041,166787,142466,161160,176499,181962
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1400","      Administrative and support and waste management and remediation services",411996,394324,397174,413288,431273,439081,464540,464063,443615,481255,455823,450749,432007,400997,438699
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1401","        Administrative and support services",398414,379312,381471,395323,408499,417904,444474,445118,423656,462125,434796,422579,403639,369777,395561
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1402","        Waste management and remediation services",13582,15012,15703,17965,22774,21177,20066,18945,19959,19130,21027,28170,28368,31220,43138
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1500","      Educational services",40353,41101,37940,46423,59141,68183,74443,76778,81854,81738,91021,109718,116117,116870,122434
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1600","      Health care and social assistance",827816,893301,934258,982978,1020177,1102031,1169033,1224905,1248170,1254484,1296865,1376407,1385324,1441399,1480905
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1601","        Ambulatory health care services",346655,401821,432488,466184,488308,541604,586155,623793,609471,626169,653608,703982,715729,750994,809830
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1602","        Hospitals",340819,338803,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",436047,454147,"(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1603","        Nursing and residential care facilities",89581,98376,104851,112550,113767,127575,135002,147863,162515,133456,134968,140275,148520,153821,155705
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1604","        Social assistance",50761,54301,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",58812,54142,"(D)","(D)","(D)","(D)"
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1700","      Arts, entertainment, and recreation",37092,43636,46891,52842,50195,52622,52951,52595,49456,48911,51088,56321,60359,64401,69331
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1701","        Performing arts, spectator sports, and related industries","(D)","(D)",9573,12219,9318,10839,10964,11299,10234,11198,11431,13979,15388,17096,19286
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1702","        Museums, historical sites, and similar institutions","(D)","(D)",1557,1896,1778,2394,2163,1980,2234,2329,2350,2411,2519,2803,3129
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1703","        Amusement, gambling, and recreation industries",28412,32906,35761,38727,39099,39389,39824,39316,36988,35384,37307,39931,42452,44502,46916
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1800","      Accommodation and food services",204654,209016,205682,229265,232615,225942,235059,234781,235386,241735,257830,273996,288352,305132,329493
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1801","        Accommodation",26592,25396,27271,31363,29992,30340,30535,34892,33753,31436,31954,32888,31404,32699,34045
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1802","        Food services and drinking places",178062,183620,178411,197902,202623,195602,204524,199889,201633,210299,225876,241108,256948,272433,295448
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1900","      Other services (except public administration)",170843,182102,196538,212357,218934,225879,229393,247208,245398,236866,235342,249868,248309,259690,272388
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1901","        Repair and maintenance",49024,48572,49069,49183,45540,40253,40615,41073,43298,39759,42089,44938,37060,38843,44036
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1902","        Personal and laundry services",31637,34025,41851,49816,52549,54296,52339,66725,58421,60280,58786,61749,66052,65799,65760
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1903","        Religious, grantmaking, civic, professional, and similar organizations",80775,90411,95677,102976,110548,120546,124840,127496,133032,127555,124534,133688,135356,143772,151056
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","1904","        Private households",9407,9094,9941,10382,10297,10784,11599,11914,10647,9272,9933,9493,9841,11276,11536
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2000","    Government and government enterprises",3053268,3280562,3425713,3585368,3721131,3906954,4013378,4185858,4367443,4686296,4616977,4862453,4968156,4965098,5197532
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2001","      Federal, civilian",151381,156585,179250,195063,203662,208975,208566,200283,272625,357409,389242,407708,417922,434613,459311
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2002","      Military",12588,16754,22253,24451,26524,25142,25580,27106,30519,31427,30517,26720,24857,23143,23243
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2010","      State and local",2889299,3107223,3224210,3365854,3490945,3672837,3779232,3958469,4064299,4297460,4197218,4428025,4525377,4507342,4714978
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2011","        State government",2261687,2416610,2508680,2608159,2732997,2887050,2980962,3153086,3255564,3477464,3418083,3675439,3778096,3769696,3963621
"11460","Ann Arbor, MI (Metropolitan Statistical Area)","2012","        Local government",627612,690613,715530,757695,757948,785787,798270,805383,808735,819996,779135,752586,747281,737646,751357
"Legend / Footnotes:"
"1/ The estimates of compensation for 2001-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011 forward are based on the 2012 NAICS."
"2/ Includes actual employer contributions and actuarially imputed employer contributions to reflect benefits accrued by defined benefit pension plan participants through service to employers in the current period."
"3/ Average compensation per job is compensation of employees divided by total full-time and part-time wage and salary employment."
"4/ Under the 2007 NAICS, internet publishing and broadcasting was reclassified to other information services."
"Note-- All dollar estimates are in current dollars (not adjusted for inflation)."
"(D) Not shown to avoid disclosure of confidential information, but the estimates for this item are included in the total."
"(NA) Data not available for this year."
"Last updated: November 17, 2016 -- new estimates for 2015; revised estimates for 2010-2014."
